name,survived,female,age,sibsp,parch,pclass,ticket,fare,cabin,embarked,boat,body,home_dest
"Chip, Mr. Chang",1,0,32,0,0,Third,1601,56.4958,,S,C,,"Hong Kong / New York, NY"
"Chisholm, Mr. Roderick Robert Crispin",0,0,,0,0,First,112051,0.0000,,S,,,"Liverpool, England / Belfast"
"Christmann, Mr. Emil",0,0,29,0,0,Third,343276,8.0500,,S,,,
"Christy, Miss. Julie Rachel",1,1,25,1,1,Second,237789,30.0000,,S,12,,London
"Christy, Mrs. (Alice Frances)",1,1,45,0,2,Second,237789,30.0000,,S,12,,London
"Chronopoulos, Mr. Apostolos",0,0,26,1,0,Third,2680,14.4542,,C,,,Greece
"Chronopoulos, Mr. Demetrios",0,0,18,1,0,Third,2680,14.4542,,C,,,Greece
"Clark, Mr. Walter Miller",0,0,27,1,0,First,13508,136.7792,C89,C,,,"Los Angeles, CA"
"Clark, Mrs. Walter Miller (Virginia McDowell)",1,1,26,1,0,First,13508,136.7792,C89,C,4,,"Los Angeles, CA"
"Clarke, Mr. Charles Valentine",0,0,29,1,0,Second,2003,26.0000,,S,,,"England / San Francisco, CA"
"Clarke, Mrs. Charles V (Ada Maria Winfield)",1,1,28,1,0,Second,2003,26.0000,,S,14,,"England / San Francisco, CA"
"Cleaver, Miss. Alice",1,1,22,0,0,First,113781,151.5500,,S,11,,
"Clifford, Mr. George Quincy",0,0,,0,0,First,110465,52.0000,A14,S,,,"Stoughton, MA"
"Coelho, Mr. Domingos Fernandeo",0,0,20,0,0,Third,SOTON/O.Q. 3101307,7.0500,,S,,,Portugal
"Cohen, Mr. Gurshon ""Gus""",1,0,18,0,0,Third,A/5 3540,8.0500,,S,12,,"London / Brooklyn, NY"
"Colbert, Mr. Patrick",0,0,24,0,0,Third,371109,7.2500,,Q,,,"Co Limerick, Ireland / Sherbrooke, PQ"
"Coleff, Mr. Peju",0,0,36,0,0,Third,349210,7.4958,,S,,,"Bulgaria / Chicago, IL"
"Coleff, Mr. Satio",0,0,24,0,0,Third,349209,7.4958,,S,,,
"Coleridge, Mr. Reginald Charles",0,0,29,0,0,Second,W./C. 14263,10.5000,,S,,,"Hartford, Huntingdonshire"
"Collander, Mr. Erik Gustaf",0,0,28,0,0,Second,248740,13.0000,,S,,,"Helsinki, Finland / Ashtabula, Ohio"
"Collett, Mr. Sidney C Stuart",1,0,24,0,0,Second,28034,10.5000,,S,9,,"London / Fort Byron, NY"
"Colley, Mr. Edward Pomeroy",0,0,47,0,0,First,5727,25.5875,E58,S,,,"Victoria, BC"
"Collyer, Miss. Marjorie ""Lottie""",1,1,8,0,2,Second,C.A. 31921,26.2500,,S,14,,"Bishopstoke, Hants / Fayette Valley, ID"
"Collyer, Mr. Harvey",0,0,31,1,1,Second,C.A. 31921,26.2500,,S,,,"Bishopstoke, Hants / Fayette Valley, ID"
"Collyer, Mrs. Harvey (Charlotte Annie Tate)",1,1,31,1,1,Second,C.A. 31921,26.2500,,S,14,,"Bishopstoke, Hants / Fayette Valley, ID"
"Compton, Miss. Sara Rebecca",1,1,39,1,1,First,PC 17756,83.1583,E49,C,14,,"Lakewood, NJ"
"Compton, Mr. Alexander Taylor Jr",0,0,37,1,1,First,PC 17756,83.1583,E52,C,,,"Lakewood, NJ"
"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",1,1,64,0,2,First,PC 17756,83.1583,E45,C,14,,"Lakewood, NJ"
"Conlon, Mr. Thomas Henry",0,0,31,0,0,Third,21332,7.7333,,Q,,,"Philadelphia, PA"
"Connaghton, Mr. Michael",0,0,31,0,0,Third,335097,7.7500,,Q,,,"Ireland / Brooklyn, NY"
"Connolly, Miss. Kate",1,1,22,0,0,Third,370373,7.7500,,Q,13,,Ireland
"Connolly, Miss. Kate",0,1,30,0,0,Third,330972,7.6292,,Q,,,Ireland
"Connors, Mr. Patrick",0,0,70.5,0,0,Third,370369,7.7500,,Q,,171,
"Cook, Mr. Jacob",0,0,43,0,0,Third,A/5 3536,8.0500,,S,,,
"Cook, Mrs. (Selena Rogers)",1,1,22,0,0,Second,W./C. 14266,10.5000,F33,S,14,,Pennsylvania
"Cor, Mr. Bartol",0,0,35,0,0,Third,349230,7.8958,,S,,,Austria
"Cor, Mr. Ivan",0,0,27,0,0,Third,349229,7.8958,,S,,,Austria
"Cor, Mr. Liudevit",0,0,19,0,0,Third,349231,7.8958,,S,,,Austria
"Corbett, Mrs. Walter H (Irene Colvin)",0,1,30,0,0,Second,237249,13.0000,,S,,,"Provo, UT"
"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",0,1,,0,0,Second,F.C.C. 13534,21.0000,,S,,,"Upper Burma, India / Pittsburgh, PA"
"Corn, Mr. Harry",0,0,30,0,0,Third,SOTON/OQ 392090,8.0500,,S,,,London
"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",1,1,55,2,0,First,11770,25.7000,C101,S,2,,"New York, NY"
"Cotterill, Mr. Henry ""Harry""",0,0,21,0,0,Second,29107,11.5000,,S,,,"Penzance, Cornwall / Akron, OH"
"Coutts, Master. Eden Leslie ""Neville""",1,0,9,1,1,Third,C.A. 37671,15.9000,,S,2,,"England / Brooklyn, NY"
"Coutts, Master. William Loch ""William""",1,0,3,1,1,Third,C.A. 37671,15.9000,,S,2,,"England / Brooklyn, NY"
"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)",1,1,36,0,2,Third,C.A. 37671,15.9000,,S,2,,"England / Brooklyn, NY"
"Coxon, Mr. Daniel",0,0,59,0,0,Third,364500,7.2500,,S,,,"Merrill, WI"
"Crafton, Mr. John Bertram",0,0,,0,0,First,113791,26.5500,,S,,,"Roachdale, IN"
"Crease, Mr. Ernest James",0,0,19,0,0,Third,S.P. 3464,8.1583,,S,,,"Bristol, England / Cleveland, OH"
"Cribb, Miss. Laura Alice",1,1,17,0,1,Third,371362,16.1000,,S,12,,"Bournemouth, England / Newark, NJ"
"Cribb, Mr. John Hatfield",0,0,44,0,1,Third,371362,16.1000,,S,,,"Bournemouth, England / Newark, NJ"
"Crosby, Capt. Edward Gifford",0,0,70,1,1,First,WE/P 5735,71.0000,B22,S,,269,"Milwaukee, WI"
"Crosby, Miss. Harriet R",1,1,36,0,2,First,WE/P 5735,71.0000,B22,S,7,,"Milwaukee, WI"
"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",1,1,64,1,1,First,112901,26.5500,B26,S,7,,"Milwaukee, WI"
"Culumovic, Mr. Jeso",0,0,17,0,0,Third,315090,8.6625,,S,,,Austria-Hungary
"Cumings, Mr. John Bradley",0,0,39,1,0,First,PC 17599,71.2833,C85,C,,,"New York, NY"
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,1,38,1,0,First,PC 17599,71.2833,C85,C,4,,"New York, NY"
"Cunningham, Mr. Alfred Fleming",0,0,,0,0,Second,239853,0.0000,,S,,,Belfast
"Daher, Mr. Shedid",0,0,22.5,0,0,Third,2698,7.2250,,C,,9,
"Dahl, Mr. Karl Edwart",1,0,45,0,0,Third,7598,8.0500,,S,15,,"Australia / Fingal, ND"
"Dahlberg, Miss. Gerda Ulrika",0,1,22,0,0,Third,7552,10.5167,,S,,,"Norrlot, Sweden / Chicago, IL"
"Dakic, Mr. Branko",0,0,19,0,0,Third,349228,10.1708,,S,,,Austria
"Daly, Miss. Margaret Marcella ""Maggie""",1,1,30,0,0,Third,382650,6.9500,,Q,15,,"Co Athlone, Ireland / New York, NY"
"Daly, Mr. Eugene Patrick",1,0,29,0,0,Third,382651,7.7500,,Q,13 15 B,,"Co Athlone, Ireland / New York, NY"
"Daly, Mr. Peter Denis ",1,0,51,0,0,First,113055,26.5500,E17,S,5 9,,"Lima, Peru"
"Danbom, Master. Gilbert Sigvard Emanuel",0,0,0.3333,0,2,Third,347080,14.4000,,S,,,"Stanton, IA"
"Danbom, Mr. Ernst Gilbert",0,0,34,1,1,Third,347080,14.4000,,S,,197,"Stanton, IA"
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",0,1,28,1,1,Third,347080,14.4000,,S,,,"Stanton, IA"
"Daniel, Mr. Robert Williams",1,0,27,0,0,First,113804,30.5000,,S,3,,"Philadelphia, PA"
"Daniels, Miss. Sarah",1,1,33,0,0,First,113781,151.5500,,S,8,,
"Danoff, Mr. Yoto",0,0,27,0,0,Third,349219,7.8958,,S,,,"Bulgaria / Chicago, IL"
"Dantcheff, Mr. Ristiu",0,0,25,0,0,Third,349203,7.8958,,S,,,"Bulgaria / Chicago, IL"
"Davidson, Mr. Thornton",0,0,31,1,0,First,F.C. 12750,52.0000,B71,S,,,"Montreal, PQ"
"Davidson, Mrs. Thornton (Orian Hays)",1,1,27,1,2,First,F.C. 12750,52.0000,B71,S,3,,"Montreal, PQ"
"Davies, Master. John Morgan Jr",1,0,8,1,1,Second,C.A. 33112,36.7500,,S,14,,"St Ives, Cornwall / Hancock, MI"
"Davies, Mr. Alfred J",0,0,24,2,0,Third,A/4 48871,24.1500,,S,,,"West Bromwich, England / Pontiac, MI"
"Davies, Mr. Charles Henry",0,0,18,0,0,Second,S.O.C. 14879,73.5000,,S,,,"Lyndhurst, England"
"Davies, Mr. Evan",0,0,22,0,0,Third,SC/A4 23568,8.0500,,S,,,
"Davies, Mr. John Samuel",0,0,21,2,0,Third,A/4 48871,24.1500,,S,,,"West Bromwich, England / Pontiac, MI"
"Davies, Mr. Joseph",0,0,17,2,0,Third,A/4 48873,8.0500,,S,,,"West Bromwich, England / Pontiac, MI"
"Davies, Mrs. John Morgan (Elizabeth Agnes Mary White) ",1,1,48,0,2,Second,C.A. 33112,36.7500,,S,14,,"St Ives, Cornwall / Hancock, MI"
"Davis, Miss. Mary",1,1,28,0,0,Second,237668,13.0000,,S,13,,"London / Staten Island, NY"
"Davison, Mr. Thomas Henry",0,0,,1,0,Third,386525,16.1000,,S,,,"Liverpool, England / Bedford, OH"
"Davison, Mrs. Thomas Henry (Mary E Finck)",1,1,,1,0,Third,386525,16.1000,,S,16,,"Liverpool, England / Bedford, OH"
"de Brito, Mr. Jose Joaquim",0,0,32,0,0,Second,244360,13.0000,,S,,,"Portugal / Sau Paulo, Brazil"
"de Messemaeker, Mr. Guillaume Joseph",1,0,36.5,1,0,Third,345572,17.4000,,S,15,,"Tampico, MT"
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",1,1,36,1,0,Third,345572,17.4000,,S,13,,"Tampico, MT"
"de Mulder, Mr. Theodore",1,0,30,0,0,Third,345774,9.5000,,S,11,,"Belgium / Detroit, MI"
"de Pelsmaeker, Mr. Alfons",0,0,16,0,0,Third,345778,9.5000,,S,,,
"Deacon, Mr. Percy William",0,0,17,0,0,Second,S.O.C. 14879,73.5000,,S,,,
"Dean, Master. Bertram Vere",1,0,1,1,2,Third,C.A. 2315,20.5750,,S,10,,"Devon, England / Wichita, KS"
"Dean, Miss. Elizabeth Gladys ""Millvina""",1,1,0.1667,1,2,Third,C.A. 2315,20.5750,,S,10,,"Devon, England / Wichita, KS"
"Dean, Mr. Bertram Frank",0,0,26,1,2,Third,C.A. 2315,20.5750,,S,,,"Devon, England / Wichita, KS"
"Dean, Mrs. Bertram (Eva Georgetta Light)",1,1,33,1,2,Third,C.A. 2315,20.5750,,S,10,,"Devon, England / Wichita, KS"
"del Carlo, Mr. Sebastiano",0,0,29,1,0,Second,SC/PARIS 2167,27.7208,,C,,295,"Lucca, Italy / California"
"del Carlo, Mrs. Sebastiano (Argenia Genovesi)",1,1,24,1,0,Second,SC/PARIS 2167,27.7208,,C,12,,"Lucca, Italy / California"
"Delalic, Mr. Redjo",0,0,25,0,0,Third,349250,7.8958,,S,,,
"Demetri, Mr. Marinko",0,0,,0,0,Third,349238,7.8958,,S,,,
"Denbury, Mr. Herbert",0,0,25,0,0,Second,C.A. 31029,31.5000,,S,,,"Guernsey / Elizabeth, NJ"
"Denkoff, Mr. Mitto",0,0,,0,0,Third,349225,7.8958,,S,,,"Bulgaria / Coon Rapids, IA"
"Dennis, Mr. Samuel",0,0,22,0,0,Third,A/5 21172,7.2500,,S,,,
"Dennis, Mr. William",0,0,36,0,0,Third,A/5 21175,7.2500,,S,,,
"Devaney, Miss. Margaret Delia",1,1,19,0,0,Third,330958,7.8792,,Q,C,,"Kilmacowen, Co Sligo, Ireland / New York, NY"
"Dibden, Mr. William",0,0,18,0,0,Second,S.O.C. 14879,73.5000,,S,,,"New Forest, England"
"Dick, Mr. Albert Adrian",1,0,31,1,0,First,17474,57.0000,B20,S,3,,"Calgary, AB"
"Dick, Mrs. Albert Adrian (Vera Gillespie)",1,1,17,1,0,First,17474,57.0000,B20,S,3,,"Calgary, AB"
"Dika, Mr. Mirko",0,0,17,0,0,Third,349232,7.8958,,S,,,
"Dimic, Mr. Jovan",0,0,42,0,0,Third,315088,8.6625,,S,,,
"Dintcheff, Mr. Valtcho",0,0,43,0,0,Third,349226,7.8958,,S,,,
"Dodge, Dr. Washington",1,0,53,1,1,First,33638,81.8583,A34,S,13,,"San Francisco, CA"
"Dodge, Master. Washington",1,0,4,0,2,First,33638,81.8583,A34,S,5,,"San Francisco, CA"
"Dodge, Mrs. Washington (Ruth Vidaver)",1,1,54,1,1,First,33638,81.8583,A34,S,5,,"San Francisco, CA"
"Doharr, Mr. Tannous",0,0,,0,0,Third,2686,7.2292,,C,,,
"Doling, Miss. Elsie",1,1,18,0,1,Second,231919,23.0000,,S,,,Southampton
"Doling, Mrs. John T (Ada Julia Bone)",1,1,34,0,1,Second,231919,23.0000,,S,,,Southampton
"Dooley, Mr. Patrick",0,0,32,0,0,Third,370376,7.7500,,Q,,,"Ireland / New York, NY"
"Dorking, Mr. Edward Arthur",1,0,19,0,0,Third,A/5. 10482,8.0500,,S,B,,"England / Oglesby, IL"
"Douglas, Mr. Walter Donald",0,0,50,1,0,First,PC 17761,106.4250,C86,C,,62,"Deephaven, MN / Cedar Rapids, IA"
"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",1,1,27,1,1,First,PC 17558,247.5208,B58 B60,C,6,,"Montreal, PQ"
"Douglas, Mrs. Walter Donald (Mahala Dutton)",1,1,48,1,0,First,PC 17761,106.4250,C86,C,2,,"Deephaven, MN / Cedar Rapids, IA"
"Dowdell, Miss. Elizabeth",1,1,30,0,0,Third,364516,12.4750,,S,13,,"Union Hill, NJ"
"Downton, Mr. William James",0,0,54,0,0,Second,28403,26.0000,,S,,,"Holley, NY"
"Doyle, Miss. Elizabeth",0,1,24,0,0,Third,368702,7.7500,,Q,,,"Ireland / New York, NY"
"Drapkin, Miss. Jennie",1,1,23,0,0,Third,SOTON/OQ 392083,8.0500,,S,,,"London / New York, NY"
"Drazenoic, Mr. Jozef",0,0,33,0,0,Third,349241,7.8958,,C,,51,"Austria / Niagara Falls, NY"
"Drew, Master. Marshall Brines",1,0,8,0,2,Second,28220,32.5000,,S,10,,"Greenport, NY"
"Drew, Mr. James Vivian",0,0,42,1,1,Second,28220,32.5000,,S,,,"Greenport, NY"
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1,1,34,1,1,Second,28220,32.5000,,S,10,,"Greenport, NY"
"Duane, Mr. Frank",0,0,65,0,0,Third,336439,7.7500,,Q,,,
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",1,1,48,1,0,First,11755,39.6000,A16,C,1,,London / Paris
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",1,0,49,1,0,First,PC 17485,56.9292,A20,C,1,,London / Paris
"Dulles, Mr. William Crothers",0,0,39,0,0,First,PC 17580,29.7000,A18,C,,133,"Philadelphia, PA"
"Duquemin, Mr. Joseph",1,0,24,0,0,Third,S.O./P.P. 752,7.5500,,S,D,,"England / Albion, NY"
"Duran y More, Miss. Asuncion",1,1,27,1,0,Second,SC/PARIS 2149,13.8583,,C,12,,"Barcelona, Spain / Havana, Cuba"
"Duran y More, Miss. Florentina",1,1,30,1,0,Second,SC/PARIS 2148,13.8583,,C,12,,"Barcelona, Spain / Havana, Cuba"
"Dyker, Mr. Adolf Fredrik",0,0,23,1,0,Third,347072,13.9000,,S,,,"West Haven, CT"
"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",1,1,22,1,0,Third,347072,13.9000,,S,16,,"West Haven, CT"
"Earnshaw, Mrs. Boulton (Olive Potter)",1,1,23,0,1,First,11767,83.1583,C54,C,7,,"Mt Airy, Philadelphia, PA"
"Edvardsson, Mr. Gustaf Hjalmar",0,0,18,0,0,Third,349912,7.7750,,S,,,"Tofta, Sweden / Joliet, IL"
"Eitemiller, Mr. George Floyd",0,0,23,0,0,Second,29751,13.0000,,S,,,"England / Detroit, MI"
"Eklund, Mr. Hans Linus",0,0,16,0,0,Third,347074,7.7750,,S,,,"Karberg, Sweden / Jerome Junction, AZ"
"Ekstrom, Mr. Johan",0,0,45,0,0,Third,347061,6.9750,,S,,,"Effington Rut, SD"
"Elias, Mr. Dibo",0,0,,0,0,Third,2674,7.2250,,C,,,
"Elias, Mr. Joseph",0,0,39,0,2,Third,2675,7.2292,,C,,,"Syria / Ottawa, ON"
"Elias, Mr. Joseph Jr",0,0,17,1,1,Third,2690,7.2292,,C,,,
"Elias, Mr. Tannous",0,0,15,1,1,Third,2695,7.2292,,C,,,Syria
"Elsbury, Mr. William James",0,0,47,0,0,Third,A/5 3902,7.2500,,S,,,"Illinois, USA"
"Emanuel, Miss. Virginia Ethel",1,1,5,0,0,Third,364516,12.4750,,S,13,,"New York, NY"
"Emir, Mr. Farred Chehab",0,0,,0,0,Third,2631,7.2250,,C,,,
"Enander, Mr. Ingvar",0,0,21,0,0,Second,236854,13.0000,,S,,,"Goteborg, Sweden / Rockford, IL"
"Endres, Miss. Caroline Louise",1,1,38,0,0,First,PC 17757,227.5250,C45,C,4,,"New York, NY"
"Eustis, Miss. Elizabeth Mussey",1,1,54,1,0,First,36947,78.2667,D20,C,4,,"Brookline, MA"
"Evans, Miss. Edith Corse",0,1,36,0,0,First,PC 17531,31.6792,A29,C,,,"New York, NY"
"Everett, Mr. Thomas James",0,0,40.5,0,0,Third,C.A. 6212,15.1000,,S,,187,
"Fahlstrom, Mr. Arne Jonas",0,0,18,0,0,Second,236171,13.0000,,S,,,"Oslo, Norway / Bayonne, NJ"
"Farrell, Mr. James",0,0,40.5,0,0,Third,367232,7.7500,,Q,,68,"Aughnacliff, Co Longford, Ireland / New York, NY"
"Farthing, Mr. John",0,0,,0,0,First,PC 17483,221.7792,C95,S,,,
"Faunthorpe, Mr. Harry",0,0,40,1,0,Second,2926,26.0000,,S,,286,"England / Philadelphia, PA"
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,1,29,1,0,Second,2926,26.0000,,S,16,,
"Fillbrook, Mr. Joseph Charles",0,0,18,0,0,Second,C.A. 15185,10.5000,,S,,,"Cornwall / Houghton, MI"
"Finoli, Mr. Luigi",1,0,,0,0,Third,SOTON/O.Q. 3101308,7.0500,,S,15,,"Italy / Philadelphia, PA"
"Fischer, Mr. Eberhard Thelander",0,0,18,0,0,Third,350036,7.7958,,S,,,
"Flegenheim, Mrs. Alfred (Antoinette)",1,1,,0,0,First,PC 17598,31.6833,,S,7,,"New York, NY"
"Fleming, Miss. Honora",0,1,,0,0,Third,364859,7.7500,,Q,,,
"Fleming, Miss. Margaret",1,1,,0,0,First,17421,110.8833,,C,4,,
"Flynn, Mr. James",0,0,,0,0,Third,364851,7.7500,,Q,,,
"Flynn, Mr. John",0,0,,0,0,Third,368323,6.9500,,Q,,,
"Flynn, Mr. John Irwin (""Irving"")",1,0,36,0,0,First,PC 17474,26.3875,E25,S,5,,"Brooklyn, NY"
"Foley, Mr. Joseph",0,0,26,0,0,Third,330910,7.8792,,Q,,,"Ireland / Chicago, IL"
"Foley, Mr. William",0,0,,0,0,Third,365235,7.7500,,Q,,,Ireland
"Foo, Mr. Choong",1,0,,0,0,Third,1601,56.4958,,S,13,,"Hong Kong / New York, NY"
"Ford, Miss. Doolina Margaret ""Daisy""",0,1,21,2,2,Third,W./C. 6608,34.3750,,S,,,"Rotherfield, Sussex, England / Essex Co, MA"
"Ford, Miss. Robina Maggie ""Ruby""",0,1,9,2,2,Third,W./C. 6608,34.3750,,S,,,"Rotherfield, Sussex, England / Essex Co, MA"
"Ford, Mr. Arthur",0,0,,0,0,Third,A/5 1478,8.0500,,S,,,"Bridgwater, Somerset, England"
"Ford, Mr. Edward Watson",0,0,18,2,2,Third,W./C. 6608,34.3750,,S,,,"Rotherfield, Sussex, England / Essex Co, MA"
"Ford, Mr. William Neal",0,0,16,1,3,Third,W./C. 6608,34.3750,,S,,,"Rotherfield, Sussex, England / Essex Co, MA"
"Ford, Mrs. Edward (Margaret Ann Watson)",0,1,48,1,3,Third,W./C. 6608,34.3750,,S,,,"Rotherfield, Sussex, England / Essex Co, MA"
"Foreman, Mr. Benjamin Laventall",0,0,30,0,0,First,113051,27.7500,C111,C,,,"New York, NY"
"Fortune, Miss. Alice Elizabeth",1,1,24,3,2,First,19950,263.0000,C23 C25 C27,S,10,,"Winnipeg, MB"
"Fortune, Miss. Ethel Flora",1,1,28,3,2,First,19950,263.0000,C23 C25 C27,S,10,,"Winnipeg, MB"
"Fortune, Miss. Mabel Helen",1,1,23,3,2,First,19950,263.0000,C23 C25 C27,S,10,,"Winnipeg, MB"
"Fortune, Mr. Charles Alexander",0,0,19,3,2,First,19950,263.0000,C23 C25 C27,S,,,"Winnipeg, MB"
"Fortune, Mr. Mark",0,0,64,1,4,First,19950,263.0000,C23 C25 C27,S,,,"Winnipeg, MB"
"Fortune, Mrs. Mark (Mary McDougald)",1,1,60,1,4,First,19950,263.0000,C23 C25 C27,S,10,,"Winnipeg, MB"
"Fox, Mr. Patrick",0,0,,0,0,Third,368573,7.7500,,Q,,,"Ireland / New York, NY"
"Fox, Mr. Stanley Hubert",0,0,36,0,0,Second,229236,13.0000,,S,,236,"Rochester, NY"
"Francatelli, Miss. Laura Mabel",1,1,30,0,0,First,PC 17485,56.9292,E36,C,1,,
"Franklin, Mr. Charles (Charles Fardon)",0,0,,0,0,Third,SOTON/O.Q. 3101314,7.2500,,S,,,
"Franklin, Mr. Thomas Parham",0,0,,0,0,First,113778,26.5500,D34,S,,,"Westcliff-on-Sea, Essex"
"Frauenthal, Dr. Henry William",1,0,50,2,0,First,PC 17611,133.6500,,S,5,,"New York, NY"
"Frauenthal, Mr. Isaac Gerald",1,0,43,1,0,First,17765,27.7208,D40,C,5,,"New York, NY"
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",1,1,,1,0,First,PC 17611,133.6500,,S,5,,"New York, NY"
"Frolicher-Stehli, Mr. Maxmillian",1,0,60,1,1,First,13567,79.2000,B41,C,5,,"Zurich, Switzerland"
"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",1,1,48,1,1,First,13567,79.2000,B41,C,5,,"Zurich, Switzerland"
"Frolicher, Miss. Hedwig Margaritha",1,1,22,0,2,First,13568,49.5000,B39,C,5,,"Zurich, Switzerland"
"Frost, Mr. Anthony Wood ""Archie""",0,0,,0,0,Second,239854,0.0000,,S,,,Belfast
"Fry, Mr. Richard",0,0,,0,0,First,112058,0.0000,B102,S,,,
"Funk, Miss. Annie Clemmer",0,1,38,0,0,Second,237671,13.0000,,S,,,"Janjgir, India / Pennsylvania"
"Futrelle, Mr. Jacques Heath",0,0,37,1,0,First,113803,53.1000,C123,S,,,"Scituate, MA"
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,1,35,1,0,First,113803,53.1000,C123,S,D,,"Scituate, MA"
"Fynney, Mr. Joseph J",0,0,35,0,0,Second,239865,26.0000,,S,,322,"Liverpool / Montreal, PQ"
"Gale, Mr. Harry",0,0,38,1,0,Second,28664,21.0000,,S,,,"Cornwall / Clear Creek, CO"
"Gale, Mr. Shadrach",0,0,34,1,0,Second,28664,21.0000,,S,,,"Cornwall / Clear Creek, CO"
"Gallagher, Mr. Martin",0,0,25,0,0,Third,36864,7.7417,,Q,,,"New York, NY"
"Garfirth, Mr. John",0,0,,0,0,Third,358585,14.5000,,S,,,
"Garside, Miss. Ethel",1,1,34,0,0,Second,243880,13.0000,,S,12,,"Brooklyn, NY"
"Gaskell, Mr. Alfred",0,0,16,0,0,Second,239865,26.0000,,S,,,"Liverpool / Montreal, PQ"
"Gavey, Mr. Lawrence",0,0,26,0,0,Second,31028,10.5000,,S,,,"Guernsey / Elizabeth, NJ"
"Gee, Mr. Arthur H",0,0,47,0,0,First,111320,38.5000,E63,S,,275,"St Anne's-on-Sea, Lancashire"
"Geiger, Miss. Amalie",1,1,35,0,0,First,113503,211.5000,C130,C,4,,
"Gheorgheff, Mr. Stanio",0,0,,0,0,Third,349254,7.8958,,C,,,
"Gibson, Miss. Dorothy Winifred",1,1,22,0,1,First,112378,59.4000,,C,7,,"New York, NY"
"Gibson, Mrs. Leonard (Pauline C Boeson)",1,1,45,0,1,First,112378,59.4000,,C,7,,"New York, NY"
"Giglio, Mr. Victor",0,0,24,0,0,First,PC 17593,79.2000,B86,C,,,
"Gilbert, Mr. William",0,0,47,0,0,Second,C.A. 30769,10.5000,,S,,,Cornwall
"Giles, Mr. Edgar",0,0,21,1,0,Second,28133,11.5000,,S,,,"Cornwall / Camden, NJ"
"Giles, Mr. Frederick Edward",0,0,21,1,0,Second,28134,11.5000,,S,,,"Cornwall / Camden, NJ"
"Giles, Mr. Ralph",0,0,24,0,0,Second,248726,13.5000,,S,,297,"West Kensington, London"
"Gilinski, Mr. Eliezer",0,0,22,0,0,Third,14973,8.0500,,S,,47,
"Gill, Mr. John William",0,0,24,0,0,Second,233866,13.0000,,S,,155,"Clevedon, England"
"Gillespie, Mr. William Henry",0,0,34,0,0,Second,12233,13.0000,,S,,,"Vancouver, BC"
"Gilnagh, Miss. Katherine ""Katie""",1,1,16,0,0,Third,35851,7.7333,,Q,16,,"Co Longford, Ireland / New York, NY"
"Givard, Mr. Hans Kristensen",0,0,30,0,0,Second,250646,13.0000,,S,,305,
"Glynn, Miss. Mary Agatha",1,1,,0,0,Third,335677,7.7500,,Q,13,,"Co Clare, Ireland / Washington, DC"
"Goldenberg, Mr. Samuel L",1,0,49,1,0,First,17453,89.1042,C92,C,5,,"Paris, France / New York, NY"
"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",1,1,,1,0,First,17453,89.1042,C92,C,5,,"Paris, France / New York, NY"
"Goldschmidt, Mr. George B",0,0,71,0,0,First,PC 17754,34.6542,A5,C,,,"New York, NY"
"Goldsmith, Master. Frank John William ""Frankie""",1,0,9,0,2,Third,363291,20.5250,,S,C D,,"Strood, Kent, England / Detroit, MI"
"Goldsmith, Mr. Frank John",0,0,33,1,1,Third,363291,20.5250,,S,,,"Strood, Kent, England / Detroit, MI"
"Goldsmith, Mr. Nathan",0,0,41,0,0,Third,SOTON/O.Q. 3101263,7.8500,,S,,,"Philadelphia, PA"
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",1,1,31,1,1,Third,363291,20.5250,,S,C D,,"Strood, Kent, England / Detroit, MI"
"Goncalves, Mr. Manuel Estanslas",0,0,38,0,0,Third,SOTON/O.Q. 3101306,7.0500,,S,,,Portugal
"Goodwin, Master. Harold Victor",0,0,9,5,2,Third,CA 2144,46.9000,,S,,,"Wiltshire, England / Niagara Falls, NY"
"Goodwin, Master. Sidney Leonard",0,0,1,5,2,Third,CA 2144,46.9000,,S,,,"Wiltshire, England / Niagara Falls, NY"
"Goodwin, Master. William Frederick",0,0,11,5,2,Third,CA 2144,46.9000,,S,,,"Wiltshire, England / Niagara Falls, NY"
"Goodwin, Miss. Jessie Allis",0,1,10,5,2,Third,CA 2144,46.9000,,S,,,"Wiltshire, England / Niagara Falls, NY"
